Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
66,Columbia,26,9,17,0.346,-5.07,-1.7,4,8,4,6,4,9,1908,1903,,69.4,102.3,0.215,0.38,0.539,50.3,57.5,10.8,8.8,0.518,16.1,26.2,0.152
67,Connecticut,30,14,16,0.467,7.78,4.28,5,12,13,4,0,8,2229,2124,,70,105.7,0.315,0.368,0.535,50.9,47.1,8.9,12,0.508,15.7,32.9,0.215
68,Coppin State,31,7,24,0.226,-19.07,-6.3,7,9,3,7,3,16,1958,2354,,72,87.4,0.358,0.46,0.484,48.5,44.4,7.4,9.2,0.449,20.3,25.1,0.236
69,Cornell,28,13,15,0.464,-6.64,-1.33,5,7,7,4,6,11,1922,2003,,69.5,97.4,0.328,0.432,0.538,46.6,59.6,8.2,8.4,0.505,17,18.4,0.235
70,Creighton,30,17,13,0.567,12.66,9.32,8,9,10,6,4,7,2368,2221,,70.2,110.6,0.286,0.47,0.592,50.3,56.1,9.4,7.3,0.574,16.6,25.5,0.198
71,Dartmouth,28,11,17,0.393,-4.49,-2.26,2,10,8,6,2,10,2043,1980,,68.3,105.9,0.25,0.42,0.56,50,53.7,7.6,9.1,0.537,15.4,23.9,0.18
72,Davidson,30,22,8,0.733,7.84,2.22,13,4,14,1,6,5,2141,1944,,66.1,107.6,0.278,0.477,0.568,50.8,58.5,7.7,7.4,0.54,15,23.1,0.207
73,Dayton,30,20,10,0.667,10.7,3.17,12,5,13,4,6,3,2200,1974,,66.3,109.2,0.332,0.343,0.583,52.1,60.2,7.5,6.9,0.561,16.5,26.5,0.228
74,Delaware State,29,5,24,0.172,-26.82,-9.42,2,14,3,9,2,14,1828,2229,,72.8,86.6,0.25,0.407,0.447,46.6,47.5,9.5,5.9,0.415,16.8,27.5,0.17
75,Delaware,31,16,15,0.516,-7.99,-4.62,8,10,9,7,7,8,2193,2223,,64.8,106.1,0.317,0.41,0.562,48.7,50.7,6.8,6.8,0.532,15.4,23.8,0.23
76,Denver,30,8,22,0.267,-11.46,-2.6,3,13,6,7,1,14,2086,2319,,69.1,100.3,0.267,0.361,0.537,51.5,46.9,6.8,7.9,0.504,17.4,26.7,0.203
77,DePaul,28,15,13,0.536,7.65,5,7,10,12,6,3,7,2154,2080,,70.8,108.2,0.356,0.332,0.56,53.9,53.3,9,9.1,0.526,16.7,32.8,0.256
78,Detroit Mercy,31,11,20,0.355,-6,-0.04,8,10,6,6,4,14,2279,2464,,70.4,104.3,0.31,0.44,0.53,45.7,40.7,10.9,7,0.497,14.2,28.8,0.222
79,Drake,31,23,8,0.742,3.27,-0.01,12,6,13,2,7,5,2354,2185,,69.6,107.3,0.322,0.407,0.577,51.6,58.3,7.3,10,0.545,16.8,25.8,0.242
80,Drexel,31,13,18,0.419,-6.35,-2.52,7,11,9,7,3,11,2364,2402,,70,108.9,0.31,0.353,0.56,51.9,52.9,6.2,4.9,0.525,14.6,28.9,0.235
81,Duke,30,26,4,0.867,29.18,11.58,14,3,15,2,7,1,2538,2010,,73.9,114.1,0.349,0.379,0.565,54.2,52.3,13,16.7,0.539,14.8,36.5,0.24
82,Duquesne,30,19,11,0.633,1.2,-0.6,10,7,14,3,4,6,2198,2144,,70.5,102.7,0.355,0.447,0.532,48.2,55.3,11.4,12.3,0.498,17.3,31.9,0.246
83,East Carolina,29,10,19,0.345,-5.5,0.91,3,14,8,8,1,11,1958,2144,,70.2,95,0.356,0.304,0.496,48.2,50.5,10.5,10.2,0.459,16.6,28.2,0.242
84,East Tennessee State,31,23,8,0.742,6.43,-1.74,13,5,13,2,8,6,2473,2124,,70.1,112.4,0.307,0.363,0.573,58,53.4,10.5,11.6,0.555,17,38.1,0.204
85,Eastern Illinois,32,14,18,0.438,-11.81,-5,7,11,7,6,5,10,2299,2457,,69,101.7,0.285,0.384,0.53,49.2,52.5,8.8,10.7,0.503,16.4,29.3,0.196
86,Eastern Kentucky,31,13,18,0.419,-7.33,-2.4,6,12,9,5,3,11,2562,2577,,79.9,101.3,0.321,0.392,0.523,47.5,50.8,12.5,8,0.488,15.4,27.7,0.229
87,Eastern Michigan,30,15,15,0.5,1.42,4.84,9,8,11,6,4,9,2102,2088,,67,103.3,0.333,0.348,0.528,51.3,45.6,11,13.6,0.507,17.4,35.9,0.209
88,Eastern Washington,30,13,17,0.433,-7.4,-3.78,11,8,9,4,2,13,2151,2237,,69.4,101.6,0.265,0.438,0.529,49.3,53.9,8.1,8.6,0.499,14.8,24.3,0.192
89,Elon,31,11,20,0.355,-10.85,-2.85,7,11,5,11,6,7,2180,2352,,68.8,101.4,0.238,0.513,0.548,47.9,58.2,6,5,0.527,16.8,23,0.165
90,Evansville,32,11,21,0.344,-3.44,0.53,5,13,9,7,2,13,2234,2317,,70.8,97.5,0.372,0.437,0.535,47.3,52.7,8.1,7.1,0.495,16.6,18.9,0.268
91,Fairfield,31,9,22,0.29,-9.8,-6.74,6,12,5,7,3,13,2072,2167,,68.1,98.1,0.239,0.422,0.53,47.6,52.7,9.6,6,0.507,18.2,25.8,0.166
92,Fairleigh Dickinson,31,18,13,0.581,-5.83,-7.79,12,6,12,4,6,9,2338,2214,,69,107.5,0.351,0.344,0.573,49.3,53.9,11.1,10,0.542,17,28.8,0.253
93,Florida A&M,31,12,19,0.387,-13.3,-7.81,9,7,6,3,5,14,1927,2057,,67.1,92.3,0.307,0.298,0.513,47.9,49.4,10.8,10.7,0.493,21,27.9,0.188
94,Florida Atlantic,30,17,13,0.567,-0.17,-1.2,8,9,9,5,6,7,2139,2042,,70.6,99.7,0.284,0.452,0.522,53,51.6,7.9,8.2,0.486,17.8,30.7,0.211
95,Florida Gulf Coast,32,14,18,0.438,-4.76,-1.12,9,7,10,4,4,10,2280,2360,,71.1,100.2,0.329,0.405,0.552,48.3,55.5,9.5,11.6,0.528,18.8,25.6,0.22
96,Florida International,30,18,12,0.6,-3.83,-1.14,9,8,11,4,5,8,2513,2426,,81.4,102.9,0.374,0.418,0.533,45.8,50.3,13,11,0.508,15.2,26.2,0.239
97,Florida State,30,24,6,0.8,18.14,9.64,12,5,15,1,5,4,2285,2030,,70,107.5,0.373,0.381,0.551,53.3,50.2,10.3,12.8,0.51,16.4,33.3,0.277
98,Florida,30,17,13,0.567,15.56,10.56,9,8,9,6,5,5,2060,1910,,65.3,103.9,0.298,0.437,0.529,49.4,50.8,11.2,12,0.496,15.4,31.2,0.216
99,Fordham,30,12,18,0.4,-4.1,-1.9,3,14,9,10,3,7,2001,2017,,66.6,98.9,0.251,0.445,0.505,47.4,47.8,8.9,9.6,0.48,14.1,25.2,0.171
100,Fresno State,29,21,8,0.724,9.34,1.59,12,5,12,4,7,3,2191,1946,,69.5,108.2,0.314,0.472,0.565,51.1,52.4,10,10.2,0.537,16.1,27.6,0.226
101,Furman,30,24,6,0.8,8.35,-1.58,13,5,13,2,11,4,2345,1966,,68.5,112.3,0.263,0.475,0.583,51.4,56.1,12.7,11.7,0.561,15.7,29.8,0.188
102,Gardner-Webb,32,21,11,0.656,-3.38,-5.34,11,6,13,0,6,9,2507,2258,,69.2,110.6,0.38,0.365,0.584,49.5,53.2,10,9.1,0.555,14.9,24.8,0.269
103,George Mason,30,16,14,0.533,1.37,0.84,10,7,11,6,5,6,2115,2099,,68.7,101.7,0.35,0.337,0.538,50.8,47.5,9.2,8.4,0.501,16.8,28.3,0.251
104,George Washington,30,8,22,0.267,-6.15,1.95,4,13,6,10,2,10,1907,2150,,67.8,92.7,0.323,0.345,0.497,47.4,49.5,7.3,8.1,0.462,16.7,22.8,0.221
105,Georgetown,30,18,12,0.6,7.93,5.73,8,9,13,5,4,6,2414,2348,,73.6,106.3,0.374,0.38,0.552,52.5,62.2,8,10.5,0.512,15.8,29.4,0.277
106,Georgia Southern,30,20,10,0.667,4.43,0.43,12,5,10,3,7,7,2502,2265,,75.8,109.1,0.368,0.311,0.581,50.6,40.4,10.4,10.1,0.557,16.1,26.9,0.252
107,Georgia State,30,21,9,0.7,2.36,0.26,12,5,13,1,6,7,2321,2212,,71.3,108.6,0.338,0.439,0.574,45.6,46.6,11.3,14.3,0.555,14.8,23.4,0.222
108,Georgia Tech,31,14,17,0.452,7.94,8.98,6,12,11,7,3,9,2020,2052,,68.3,95,0.351,0.334,0.523,48.5,57.6,10.2,14.5,0.489,19,25.3,0.244
109,Georgia,30,11,19,0.367,6.6,8.6,2,15,8,9,2,8,2167,2227,,70.5,102.5,0.394,0.366,0.547,52.4,54.9,8.2,12,0.508,19.3,33.5,0.282
110,Gonzaga,31,29,2,0.935,29.58,4.68,16,0,17,0,9,1,2785,2013,,71.8,125.1,0.362,0.352,0.63,54.5,55.8,10.5,13.7,0.598,12.5,31,0.279
111,Grambling,30,15,15,0.5,-9.53,-8.93,9,8,8,3,6,11,2157,2071,,71.9,99.2,0.428,0.302,0.547,50.6,50.5,8.3,11.7,0.513,19.5,26.7,0.29
112,Grand Canyon,29,18,11,0.621,5.82,-1.89,10,5,12,2,5,5,2202,1955,,69.7,108.4,0.351,0.383,0.558,52.6,55.6,9.1,6.2,0.522,15.4,29.8,0.258
113,Green Bay,32,17,15,0.531,-3.11,-0.11,10,8,12,3,4,12,2599,2567,,76.7,105,0.349,0.364,0.548,47.6,51.4,10.3,10.7,0.516,14.6,25,0.248
114,Hampton,31,15,16,0.484,-3.89,-4.96,9,7,10,3,5,10,2533,2380,,72.8,109.6,0.354,0.385,0.547,50.2,50.6,8.4,9.5,0.5,12.6,27.9,0.276
115,Hartford,31,17,14,0.548,-3.3,-4.2,10,6,9,4,8,8,2314,2247,,68.2,108.1,0.323,0.452,0.574,47.6,54.5,10,6,0.542,15.8,25.3,0.24
116,Harvard,25,16,9,0.64,2.61,0.57,9,3,9,2,6,7,1781,1720,,68.4,102.1,0.304,0.417,0.571,53.3,49.1,8.1,11.3,0.548,20.4,26.9,0.211
117,Hawaii,29,17,12,0.586,-1.02,-3.13,8,7,12,5,2,5,2104,2004,,67.7,106.2,0.337,0.432,0.556,50.7,61.2,7.6,5.8,0.53,15.3,26.3,0.231
118,High Point,31,16,15,0.516,-5.45,-4.21,9,7,9,4,5,8,2115,2105,,65.5,103,0.351,0.339,0.527,55,52.9,8.3,9.8,0.496,16.8,34.2,0.238
119,Hofstra,31,25,6,0.806,5.8,-4.67,15,3,15,1,10,5,2613,2246,,68.5,119.8,0.372,0.395,0.61,50.8,49.9,9.3,8.7,0.569,12.4,27.6,0.297
120,Holy Cross,33,16,17,0.485,-6.05,-3.62,6,12,8,6,6,10,2216,2296,,65,102.1,0.231,0.365,0.544,43.5,60.1,11.1,12.4,0.527,14.7,20.5,0.154
121,Houston Baptist,28,12,16,0.429,-8.45,-4.68,8,9,9,4,3,12,2317,2327,,75.3,107.6,0.416,0.308,0.547,52.7,51.3,10.3,4.7,0.514,16.7,35.4,0.282
122,Houston,30,28,2,0.933,17.75,2.98,15,2,18,1,9,1,2284,1841,,67.7,112.5,0.321,0.435,0.558,55.2,57,9.8,13.5,0.528,14.5,34,0.228
123,Howard,31,16,15,0.516,-12.19,-9.33,10,6,6,8,8,7,2463,2434,,74.7,105.5,0.364,0.305,0.528,48.7,48.5,7.6,10.6,0.488,14.1,30.6,0.264
124,Idaho State,28,10,18,0.357,-12.33,-3.8,6,13,5,6,5,11,2048,2207,,68.8,106.3,0.279,0.425,0.554,48.7,48.8,7.3,7.8,0.525,15.4,27.1,0.205
125,Idaho,30,5,25,0.167,-18.75,-5.49,2,17,4,11,1,11,2035,2315,,68.1,99.1,0.289,0.388,0.543,47.8,51.4,5.8,4.9,0.513,18.2,24.3,0.209
126,Illinois-Chicago,32,16,16,0.5,-2.89,-1.72,10,8,12,4,4,12,2391,2385,,71.5,103.3,0.279,0.455,0.561,48.4,55.3,9.1,10.6,0.54,17.7,24.8,0.19
127,Illinois State,32,17,15,0.531,-1.28,0.6,9,9,12,4,2,10,2195,2236,,67.9,100.3,0.283,0.388,0.529,49.6,52.1,7,9.8,0.499,16.3,25.2,0.202
128,Illinois,30,11,19,0.367,10.52,12.29,7,12,9,5,1,8,2206,2259,,71.6,101.9,0.301,0.383,0.526,47.4,50.8,10.3,7.3,0.496,15.8,29.2,0.21
129,Incarnate Word,30,6,24,0.2,-17.95,-4.72,1,16,5,9,0,13,1992,2274,,66.8,98.2,0.371,0.329,0.572,46.9,49.9,8.8,5.2,0.522,21.9,24,0.3
130,Indiana State,31,15,16,0.484,-2.35,0.99,7,11,9,5,4,9,2146,2218,,69.3,99,0.361,0.286,0.533,48.4,45.2,9.6,6.8,0.492,16.9,23.8,0.264
131,Indiana,30,16,14,0.533,15.09,11.49,7,12,12,5,2,9,2125,2017,,67.8,102.8,0.347,0.334,0.535,51,50.8,9.4,12.1,0.51,16.1,28.6,0.227
132,Iona,29,14,15,0.483,-5.49,-5.49,12,6,8,3,5,9,2232,2232,,72.1,106.8,0.367,0.438,0.565,48.5,51,9.3,8.2,0.528,15.8,25.2,0.27
133,Iowa State,30,20,10,0.667,17.68,8.22,9,8,12,3,5,6,2336,2052,,68.8,113.1,0.294,0.396,0.577,50.5,55.3,10.5,12.6,0.549,13.9,28.8,0.215
134,Iowa,30,21,9,0.7,14.57,9.37,10,9,14,4,4,4,2357,2201,,70.6,110.9,0.434,0.395,0.573,50.9,59.7,9,9.4,0.529,15.2,30.1,0.324
135,Purdue-Fort Wayne,31,17,14,0.548,-3.9,-3.15,9,7,11,5,6,9,2572,2425,,73.6,111.8,0.27,0.459,0.586,48.9,53.2,9.9,11.8,0.567,14.5,24.2,0.189
136,IUPUI,32,16,16,0.5,-2.5,-3,8,10,11,4,3,12,2434,2351,,71.3,106.8,0.362,0.351,0.545,53.3,53.4,9.8,9.2,0.512,16.6,34.9,0.254
137,Jackson State,30,12,18,0.4,-14.6,-8.85,9,8,7,3,3,14,1843,1979,,67.5,90.7,0.331,0.317,0.477,50.5,49.3,9.5,11.7,0.449,17.6,28.6,0.206
138,Jacksonville State,32,24,8,0.75,1.46,-5.91,15,3,11,1,10,7,2500,2207,,71.3,107.5,0.312,0.311,0.546,54.3,47.5,10.2,12.1,0.51,15.7,33.4,0.232
139,Jacksonville,32,12,20,0.375,-8,-4.47,5,11,5,8,6,11,2385,2402,,73.3,101.3,0.298,0.33,0.535,50.5,51.3,9,13,0.51,17.2,28.4,0.202
